record_num,id,precursor,decision,reason,source,title,authors,year,journal,doi,pmid,link,pdf_file,fulltext_note,nma_status,nma_exclusion_reason
36,37159264,NR,UNCERTAIN,no metabolic outcome; no placebo; no human markers,abstract screen,Randomized crossover clinical trial of coenzyme Q10 and nicotinamide riboside in  chronic kidney disease.,Ahmadi A; Begue G; Valencia AP...,2023,JCI insight,10.1172/jci.insight.167274,37159264,https://doi.org/10.1172/jci.insight.167274,167274.3-20230627131953-covered-e0fd13ba177f913fd3156f593ead4cfd.pdf,"Ahmadi 2023 - NR+CoQ10 randomized crossover in CKD, reports insulin/lipids/triglycerides/NAD+",INCLUDED_NMA,
46,36082508,NR,UNCERTAIN,no metabolic outcome; no human markers,screening,"Nicotinamide riboside and pterostilbene reduces markers of hepatic inflammation  in NAFLD: A double-blind, placebo-controlled clinical trial.",Dellinger RW; Holmes HE; Hu-Seliger T...,2023,"Hepatology (Baltimore, Md.)",10.1002/hep.32778,36082508,https://doi.org/10.1002/hep.32778,nicotinamide_riboside_and_pterostilbene_reduces.18.pdf,"Dellinger 2023 - NR+ptero DB-PC RCT in NAFLD, reports insulin/glucose/HOMA/HbA1c/lipids/BP/NAD+",INCLUDED_NMA,
14,39847432,NR,UNCERTAIN,no RCT signal; no placebo; no human markers,abstract,A Pilot Trial of Nicotinamide Riboside and Coenzyme Q10 on Inflammation and  Oxidative Stress in CKD.,Ahmadi A; Valencia AP; Begue G...,2025,Clinical journal of the American Society of Nephrology : CJASN,10.2215/CJN.0000000624,39847432,https://doi.org/10.2215/CJN.0000000624,a_pilot_trial_of_nicotinamide_riboside_and.7.pdf,"Ahmadi 2025 - NR+CoQ10 pilot RCT in CKD, reports insulin/glucose/lipids/triglycerides",INCLUDED_NMA,
258,CN-01969353,NMN,INCLUDE,"RCT - NMN vs placebo, metabolic outcomes reported",abstract,"Randomized, double-blind, placebo-controlled parallel-group comparative study to evaluate the effect of nicotinamide mononucleotide (NMN) on the body composition in elderly persons","UMIN000036321,",2019,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000036321,,01969353,https://center6.umin.ac.jp/cgi-open-bin/ctr_e/ctr_view.cgi?recptno=R000036321,,,EXCLUDED_NMA,Trial registration only — no published results
159,CN-02565422,NMN,INCLUDE,Meets inclusion criteria,screening,Metabolic Changes Induced by NMN in Healthy Subjects With Acute Binge Drink,"NCT05882214,",2023,https://clinicaltrials.gov/ct2/show/NCT05882214,,02565422,https://clinicaltrials.gov/study/NCT05882214,,,EXCLUDED_NMA,Trial registration only — no published results
255,CN-02616656,NMN,INCLUDE,NMN/NR RCT with metabolic outcomes,abstract screen,A randomized controlled trial of long-term nicotinamide mononucleotide supplementation in healthy adults,"Naito, K; Katayoshi, T; Uehata, S...",2023,Annals of nutrition &amp; metabolism,10.1159/000530786,02616656,https://doi.org/10.1159/000530786,,,EXCLUDED_NMA,"No PDF available — paywalled (Karger), skipped"
93,CN-02838583,NMN,INCLUDE,RCT with NMN/NR vs placebo,screening,The Impact of Nicotinamide Mononucleotide Sustained-release Tablets on Immunosenescence and Metablism in Middle-aged and Elderly Individuals with Metabolic Disorders,"NCT06907329,",2025,https://clinicaltrials.gov/ct2/show/NCT06907329,,02838583,https://clinicaltrials.gov/study/NCT06907329,,,EXCLUDED_NMA,Trial registration only — no published results
317,CN-02901111,NMN,INCLUDE,Meets all criteria,abstract,Nicotinamide Mononucleotide Supplementation for Exercise Tolerance Improvement in Healthy Older Adults,"NCT07144527,",2025,https://clinicaltrials.gov/study/NCT07144527,,02901111,https://clinicaltrials.gov/study/NCT07144527,,,EXCLUDED_NMA,Trial registration only — no published results
349,CN-01796136,NR,INCLUDE,Eligible RCT,abstract,Nicotinamide Riboside for Treating Elevated Systolic Blood Pressure and Arterial Stiffness in Middle-aged and Older Adults,"NCT03821623,",2019,https://clinicaltrials.gov/ct2/show/NCT03821623,,01796136,https://clinicaltrials.gov/study/NCT03821623,,,EXCLUDED_NMA,Trial registration only — no published results
193,CN-02467196,NR,INCLUDE,"RCT - NMN vs placebo, metabolic outcomes reported",abstract,Nicotinamide Riboside in Ulcerative Colitis,"NCT05561738,",2022,https://clinicaltrials.gov/ct2/show/NCT05561738,,02467196,https://clinicaltrials.gov/study/NCT05561738,,,EXCLUDED_NMA,Trial registration only — no published results
