record_num,id,precursor,title,authors,year,journal,doi
232,CN-01111313,NMN,N(1)-methylnicotinamide as an endogenous probe for drug interactions by renal cation transporters: studies on the metformin-trimethoprim interaction,"Müller, F; Pontones, CA; Renner, B...",2015,European journal of clinical pharmacology,10.1007/s00228-014-1770-2
236,CN-02597671,NR,Double-blind Placebo Controlled Study to Evaluate the Effect of NAD+ Boosting With Nicotinamide Riboside on Immunometabolism and Immunity in Systemic Lupus Erythematosus,"NCT06032923,",2023,https://clinicaltrials.gov/ct2/show/NCT06032923,
247,CN-02070311,NR,Cross-over trial to verify safety and effectiveness of nicotinamide riboside for patients with Werner syndrome,"jRCTs031190141,",2019,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-jRCTs031190141,
255,CN-02616656,NMN,A randomized controlled trial of long-term nicotinamide mononucleotide supplementation in healthy adults,"Naito, K; Katayoshi, T; Uehata, S...",2023,Annals of nutrition &amp; metabolism,10.1159/000530786
258,CN-01969353,NMN,"Randomized, double-blind, placebo-controlled parallel-group comparative study to evaluate the effect of nicotinamide mononucleotide (NMN) on the body composition in elderly persons","UMIN000036321,",2019,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000036321,
262,CN-02475434,NR,N-DOSE: a Dose Optimization Trial of Nicotinamide Riboside in Parkinson's Disease,"NCT05589766,",2022,https://clinicaltrials.gov/ct2/show/NCT05589766,
265,CN-02497267,NR,N-DOSE AD: a Dose Optimization Trial of Nicotinamide Riboside in Alzheimer's Disease,"NCT05617508,",2022,https://clinicaltrials.gov/study/NCT05617508,
266,CN-01660920,NR,Trial of Nicotinamide Riboside and Co-enzyme Q10 in Chronic Kidney Disease,"NCT03579693,",2018,https://clinicaltrials.gov/show/NCT03579693,
268,CN-02398435,NR,NR-SAFE: safety of High-dose Nicotinamide Riboside (NR) in Parkinson's Disease,"NCT05344404,",2022,https://clinicaltrials.gov/show/NCT05344404,
270,CN-02850624,NR,NADream: effects of Nicotinamide Adenine Dinucleotide Supplementation on Sleep Quality in Healthy Individuals,"NCT06971224,",2025,https://clinicaltrials.gov/study/NCT06971224,
274,CN-01663626,NR,Nicotinamide Riboside for Diabetic Neuropathy,"NCT03685253,",2018,https://clinicaltrials.gov/study/NCT03685253,
299,CN-02941650,NMN,The Role of Pyrroloquinoline Quinone in Sports Nutrition: an Acute Exhaustive Exercise,"ChiCTR2500112623,",2025,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2500112623,
317,CN-02901111,NMN,Nicotinamide Mononucleotide Supplementation for Exercise Tolerance Improvement in Healthy Older Adults,"NCT07144527,",2025,https://clinicaltrials.gov/study/NCT07144527,
326,CN-02253228,NR,Nicotinamide Riboside in SARS-CoV-2 (COVID-19) Patients for Renal Protection,"NCT04818216,",2021,https://clinicaltrials.gov/ct2/show/NCT04818216,
335,CN-02632460,NR,The NADAPT Study: a Randomized Double-blind Trial of NAD Replenishment Therapy for Atypical Parkinsonism,"NCT06162013,",2023,https://clinicaltrials.gov/ct2/show/NCT06162013,
